customer_id,signup_date,home_store,annual_visits,online_ratio,ltv_estimate,first_purchase_date,last_purchase_date,region,loyalty_member,total_purchases,total_spent,avg_purchase_value,visits_2023,has_escalation,escalation_reason,customer_rating,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Customer_Segment
1,2019-06-08,YYC-NW,18,0.25,62.7,2019-06-08,2019-11-22,Calgary NW,False,84,6117.54,72.83,19,True,Rude Staff,3.95,1867,84,6117.54,1,5,5,155,At Risk (Nguy cơ rời bỏ)
2,2023-12-21,YYC-NW,9,0.47,40.67,2023-12-21,2024-12-16,Calgary NW,False,10,540.63,54.06,10,True,Damaged Book,3.08,16,10,540.63,5,2,2,522,Potential Loyalists (Tiềm năng)
3,2021-03-10,ONLINE,3,0.25,220.5,2021-03-10,2022-01-10,Online,False,9,616.4,68.49,3,False,,4.38,1087,9,616.4,1,2,2,122,Hibernating (Ngủ đông)
4,2021-08-13,ONLINE,15,0.43,466.8,2021-08-13,2023-11-03,Online,False,48,2125.24,44.28,14,True,Late Delivery,3.53,425,48,2125.24,3,5,4,354,Loyal Customers (Trung thành)
5,2024-02-12,YYC-NW,2,0.25,179.24,2024-02-12,2024-09-01,Calgary NW,False,1,36.92,36.92,1,False,,3.41,122,1,36.92,4,1,1,411,Potential Loyalists (Tiềm năng)
6,2024-04-18,YYC-NW,8,0.26,115.9,2024-04-18,2024-10-16,Calgary NW,False,5,214.42,42.88,8,True,Rude Staff,4.13,77,5,214.42,5,1,1,511,Potential Loyalists (Tiềm năng)
7,2019-11-17,YYC-SE,18,0.18,266.92,2019-11-17,2022-03-16,Calgary SE,False,73,1843.39,25.25,15,True,Damaged Book,3.51,1022,73,1843.39,1,5,4,154,At Risk (Nguy cơ rời bỏ)
8,2019-06-23,YYC-NW,5,0.2,355.06,2019-06-23,2022-10-27,Calgary NW,False,24,695.07,28.96,4,False,,3.88,797,24,695.07,2,3,2,232,At Risk (Nguy cơ rời bỏ)
9,2021-03-22,YYC-NW,15,0.34,142.81,2021-03-22,2022-06-07,Calgary NW,False,43,2937.53,68.31,9,True,Damaged Book,3.71,939,43,2937.53,1,4,5,145,At Risk (Nguy cơ rời bỏ)
10,2020-02-17,YYC-DT,14,0.2,150.97,2020-02-17,2021-12-12,Calgary Downtown,False,56,4013.58,71.67,16,True,Website Issue,3.98,1116,56,4013.58,1,5,5,155,At Risk (Nguy cơ rời bỏ)
11,2022-07-06,YYC-NW,5,0.24,88.16,2022-07-06,2024-05-14,Calgary NW,True,12,468.7,39.06,5,True,Rude Staff,4.46,232,12,468.7,4,2,2,422,Potential Loyalists (Tiềm năng)
12,2024-12-04,YYC-NW,4,0.08,244.97,2024-12-04,2024-04-13,Calgary NW,False,1,26.54,26.54,4,False,,4.18,263,1,26.54,4,1,1,411,Potential Loyalists (Tiềm năng)
13,2022-10-29,YYC-DT,18,0.2,257.67,2022-10-29,2023-02-15,Calgary Downtown,False,42,2410.63,57.4,9,True,Late Delivery,3.44,686,42,2410.63,2,4,4,244,At Risk (Nguy cơ rời bỏ)
14,2020-03-26,YYC-DT,18,0.31,291.2,2020-03-26,2021-04-13,Calgary Downtown,False,65,5373.65,82.67,21,True,Damaged Book,3.12,1359,65,5373.65,1,5,5,155,At Risk (Nguy cơ rời bỏ)
15,2019-03-09,YYC-DT,7,0.15,63.1,2019-03-09,2020-03-08,Calgary Downtown,True,37,1982.19,53.57,7,True,Website Issue,4.15,1760,37,1982.19,1,4,4,144,At Risk (Nguy cơ rời bỏ)
16,2021-09-06,YYC-DT,3,0.32,72.62,2021-09-06,2024-12-01,Calgary Downtown,False,8,497.16,62.14,3,False,,4.43,31,8,497.16,5,2,2,522,Potential Loyalists (Tiềm năng)
17,2024-05-12,ONLINE,19,0.05,103.9,2024-05-12,2024-12-25,Online,False,13,870.83,66.99,10,False,,4.17,7,13,870.83,5,2,3,523,Potential Loyalists (Tiềm năng)
18,2023-11-16,ONLINE,2,0.1,91.48,2023-11-16,2024-08-27,Online,False,2,65.71,32.85,2,True,Late Delivery,3.18,127,2,65.71,4,1,1,411,Potential Loyalists (Tiềm năng)
19,2020-12-09,YYC-NW,8,0.43,224.45,2020-12-09,2023-09-14,Calgary NW,False,22,1580.46,71.84,8,False,,4.07,475,22,1580.46,3,3,4,334,Loyal Customers (Trung thành)
20,2020-06-18,YYC-NW,11,0.35,112.28,2020-06-18,2024-01-18,Calgary NW,False,41,1319.07,32.17,7,False,,4.32,349,41,1319.07,3,4,3,343,Loyal Customers (Trung thành)
21,2023-05-10,YYC-NW,11,0.36,45.89,2023-05-10,2024-12-15,Calgary NW,False,16,1492.52,93.28,11,False,,4.18,17,16,1492.52,5,3,3,533,Loyal Customers (Trung thành)
22,2019-04-18,YYC-DT,10,0.06,106.25,2019-04-18,2019-08-05,Calgary Downtown,False,47,1541.89,32.81,9,False,,3.75,1976,47,1541.89,1,4,3,143,At Risk (Nguy cơ rời bỏ)
23,2021-01-25,YYC-NW,4,0.08,191.09,2021-01-25,2022-11-11,Calgary NW,False,13,440.99,33.92,3,True,Rude Staff,3.41,782,13,440.99,2,2,2,222,Need Attention (Cần chú ý)
24,2021-02-16,YYC-SE,19,0.45,48.13,2021-02-16,2022-01-09,Calgary SE,False,65,4789.11,73.68,13,False,,3.75,1088,65,4789.11,1,5,5,155,At Risk (Nguy cơ rời bỏ)
25,2024-04-30,YYC-SE,5,0.28,77.42,2024-04-30,2024-10-01,Calgary SE,False,2,171.35,85.68,6,True,Billing Error,3.87,92,2,171.35,5,1,1,511,Potential Loyalists (Tiềm năng)
26,2020-10-21,YYC-NW,10,0.12,59.09,2020-10-21,2023-12-20,Calgary NW,False,43,1159.71,26.97,6,False,,3.97,378,43,1159.71,3,4,3,343,Loyal Customers (Trung thành)
