Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,P,F,M,P_score,F_score,M_score,PFM_score,Segment (EN),Segment_Group
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,fortnightly,14,1,53,4,3,3,433,Potential Loyal,Potential & Promising
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,fortnightly,2,1,64,5,3,3,533,Potential Loyal,Potential & Promising
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,weekly,23,1,73,3,3,4,334,Needs Engagement,High Risk & Need Attention
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,weekly,49,1,90,1,3,5,135,At Risk (Strong),Hibernating & Lost
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,annually,31,3,49,2,1,2,212,Dormant Shoppers,Hibernating & Lost
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,weekly,14,1,20,4,3,1,431,Potential Loyal,Potential & Promising
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,quarterly,49,2,85,1,2,5,125,At Risk (Strong),Hibernating & Lost
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,weekly,19,1,34,4,3,1,431,Potential Loyal,Potential & Promising
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,annually,8,3,97,5,1,5,515,Active Regulars,Potential & Promising
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,quarterly,4,2,31,5,2,1,521,Active Regulars,Potential & Promising
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,bi-weekly,26,1,34,3,3,1,331,At Risk,Hibernating & Lost
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,fortnightly,10,1,68,5,3,3,533,Potential Loyal,Potential & Promising
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,fortnightly,37,1,72,2,3,4,234,At Risk (Strong),Hibernating & Lost
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,weekly,31,1,51,2,3,2,232,Dormant Shoppers,Hibernating & Lost
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,weekly,34,1,53,2,3,3,233,Dormant Shoppers,Hibernating & Lost
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,monthly,8,2,81,5,2,4,524,Active Regulars,Potential & Promising
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,bi-weekly,44,1,36,1,3,2,132,Dormant Shoppers,Hibernating & Lost
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,quarterly,36,2,38,2,2,2,222,Dormant Shoppers,Hibernating & Lost
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,weekly,17,1,48,4,3,2,432,Potential Loyal,Potential & Promising
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,bi-weekly,46,1,90,1,3,5,135,At Risk (Strong),Hibernating & Lost
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,every 3 months,50,2,51,1,2,2,122,Dormant Shoppers,Hibernating & Lost
